,YearMonth,dominant_emotion,count
0,2020-01,fear,2
1,2020-01,positive,1
2,2020-01,trust,1
3,2021-07,fear,1
4,2022-01,fear,3
5,2022-01,trust,1
6,2022-02,fear,4
7,2022-02,trust,1
8,2022-03,fear,1
9,2023-02,fear,1
10,2023-04,fear,1
11,2023-10,trust,1
12,2024-01,fear,2
13,2024-03,fear,2
14,2024-04,fear,1
15,2024-06,fear,1
16,2024-07,fear,1
17,2024-07,negative,1
18,2024-08,positive,1
19,2024-09,fear,1
20,2024-11,fear,4
21,2024-11,positive,2
22,2024-12,anger,1
23,2024-12,fear,3
24,2024-12,positive,1
25,2025-01,anticipation,1
26,2025-01,fear,4
27,2025-02,fear,1
28,2025-02,positive,2
29,2025-02,surprise,1
30,2025-03,fear,7
31,2025-03,negative,1
32,2025-03,positive,2
33,2025-03,trust,2
34,2025-04,fear,5
35,2025-04,positive,1
36,2025-05,fear,5
37,2025-05,positive,1
38,2025-06,anger,1
39,2025-06,anticipation,10
40,2025-06,fear,93
41,2025-06,negative,11
42,2025-06,positive,13
43,2025-06,surprise,4
44,2025-06,trust,12
